CodigoUnico	Ruta	Descripcion
10022300305	IMAGENES JAZZ\\TRAMONTINA\\DYNAMIC\\10022300305.jpg	TRAMONTINA DYNAMIC Cuchillo Asado 5/ Bx3
184365	IMAGENES JAZZ\\ARGOS\\184365.jpg	BELGIOCO LUNCHERA CON BOTELLA
15309	IMAGENES JAZZ\\QUALITY\\15309.jpg	QUALITY MESA REDONDA REFORZADA
194385110	IMAGENES JAZZ\\DIFPLAST\\194385110.jpg	DIF PLAST CANASTO DE ROPA 40cm
107002617	IMAGENES JAZZ\\COLORES\\107002617.jpg	ECOLINE FUENTON 54 LTS  COLORES
551015923	IMAGENES JAZZ\\BERUPLAST\\551015923.jpg	BERUPLAST FUENTON 12 LTS
10020075724	IMAGENES JAZZ\\TRAMONTINA\\TEFLON\\BRASIL\\10020075724.jpeg	TRAMONTINA BRASIL Rojo Molde Corazón 24cm
144003508	IMAGENES JAZZ\\OLDCLAN\\144003508.jpg	PLASTIC HOUSE FUENTON 60 LTS
161322216	IMAGENES JAZZ\\LABANIM\\161132227.jpeg	HB ASADERA RECTANGULAR ANTIAD. 42*29*5cm
200108481	IMAGENES JAZZ\\BENABI\\200108481.jpeg	BNB PLATO VIDRIO LABRADO 33cm
011022032	IMAGENES JAZZ\\ENCANTA\\011022032.jpg	ALFOMBRA BAÑO RECTANG. 37*69cm 40 22 03
101T48BOC	IMAGENES JAZZ\\LUMILAGRO\\101T48BOC.jpg	LUMILAGRO TERMO  DEPORTIVO BOCA
210218485	IMAGENES JAZZ\\HUDSON\\UTENSILLOS\\210218485.jpg	HUDSON CORTA PIZA AC. INOX. NEGRO
101T48SAN	IMAGENES JAZZ\\LUMILAGRO\\101T48SAN.jpg	LUMILAGRO TERMO  DEPORTIVO SAN LORENZO
101T48RAC	IMAGENES JAZZ\\LUMILAGRO\\101T48RAC.jpg	LUMILAGRO TERMO  DEPORTIVO RACING
107006837	IMAGENES JAZZ\\COLORES\\107006837.jpg	PALANGANA 4LTS COLORES
107002525	IMAGENES JAZZ\\COLORES\\107002525.jpg	PALANGANA 6 LTS COLORES
107006844	IMAGENES JAZZ\\COLORES\\107006844.jpg	PALANGANA 9 LTS COLORES
110620051	IMAGENES JAZZ\\MOR BRASIL\\2005.jpg	MOR REPOSERA PLAYERA CAÑO PINTADO 8 POS.
500703760	IMAGENES JAZZ\\COOLBAZAR\\500703760.jpg	JARRO ENLOZADO BORDE ACERO Nº 8
107001825	IMAGENES JAZZ\\COLORES\\107001825.jpeg	COLORES BALDE PLASTICO 13lts. ECOLINE
551015886	IMAGENES JAZZ\\BERUPLAST\\551015886.jpeg	BERUPLAST BALDE 10 LTS
110008058	IMAGENES JAZZ\\GEMPLAST\\110008058.jpg	BALDE 12 LTS GEMPLAST DOMICILIARIO
141030880	IMAGENES JAZZ\\DESESPLAST\\141030880.jpg	DESES PLAST CAMPANA GASTRONOMICA RANDOM
022123656	IMAGENES JAZZ\\MARINELPLAST\\022123656.jpg	CANASTO CON MANIJA RATAN CHICO 20*15*10cm
141012022	IMAGENES JAZZ\\DESESPLAST\\141012022.jpg	BALDE 12 LTS DESES PLAST
208149371	IMAGENES JAZZ\\CRYSTALROCK\\20857914937.jpg	CR JERINGA DE COCINA PARA MARINAR GRANDE
141012060	IMAGENES JAZZ\\DESESPLAST\\141012060.jpg	DESES PLAST BALDE CON ESCURRIDOR OVAL
172301079	IMAGENES JAZZ\\DILIT\\172301079.jpeg	OZER ESCOBILLA BAÑO METALIZADA C/ DEP. TUBO
139000381	IMAGENES JAZZ\\MATRIPLASTER\\139000381.jpg	BALDE 14 LTS OVAL + ESCURRIDOR LAMPAZO
139000671	IMAGENES JAZZ\\MATRIPLASTER\\139000671.jpg	BALDE 9 LTS OVAL + ESCURRIDOR LAMPAZO
202010522	IMAGENES JAZZ\\BENABI\\202010522.jpg	BNB MOLDE CORTANTE RECTANG. X3 ACERO INOX
218010588	IMAGENES JAZZ\\FLORIDA\\218010588.jpg	FLORIDA BALDE 10lts
500269289	IMAGENES JAZZ\\COOLBAZAR\\500268289.jpg	JARRO ENLOZADO BORDE ACERO N°14
107001887	IMAGENES JAZZ\\COLORES\\107001887.jpg	BALDE 13 LTS COLORES MANIJA  ALAMBRE
110000628	IMAGENES JAZZ\\GEMPLAST\\110000628.jpg	GEMPLAST BAÑERA
